snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-19798b7f,Created by CreateImage(i-51ffc513) for ami-8cfff2ea from vol-e0ecdbe2,2017-05-04 11:10:07+00:00,65,vol-e0ecdbe2,FALSE,i-51ffc513,FALSE,ami-8cfff2ea,FALSE
snap-82a26de4,Created by CreateImage(i-51ffc513) for ami-8cfff2ea from vol-b3ecdbb1,2017-05-04 11:10:07+00:00,120,vol-b3ecdbb1,FALSE,i-51ffc513,FALSE,ami-8cfff2ea,FALSE
snap-7eca6618,Created by CreateImage(i-3ce48db7) for ami-77e3b811 from vol-522d4cd0,2017-02-03 11:44:39+00:00,120,vol-522d4cd0,TRUE,i-3ce48db7,TRUE,ami-77e3b811,FALSE
snap-f2412b94,Created by CreateImage(i-26c07566) for ami-d02403b6 from vol-f48a1df3,2017-02-10 08:04:21+00:00,120,vol-f48a1df3,TRUE,i-26c07566,TRUE,ami-d02403b6,FALSE
snap-28b9bd4e,Created by CreateImage(i-6246bfed) for ami-19fcf17f from vol-daf4fe6b,2017-05-04 11:09:30+00:00,120,vol-daf4fe6b,TRUE,i-6246bfed,TRUE,ami-19fcf17f,FALSE
snap-6da75539,Created by CreateImage(i-94938b2d) for ami-07785270 from vol-ee57ea21,2015-09-29 10:59:33+00:00,120,vol-ee57ea21,FALSE,i-94938b2d,FALSE,ami-07785270,FALSE
snap-d521d881,Created by CreateImage(i-75809ecc) for ami-51785226 from vol-16f644d9,2015-09-29 10:53:39+00:00,120,vol-16f644d9,FALSE,i-75809ecc,FALSE,ami-51785226,FALSE
snap-77f72a23,Created by CreateImage(i-4ab0aef3) for ami-f978528e from vol-86e15349,2015-09-29 11:00:32+00:00,65,vol-86e15349,FALSE,i-4ab0aef3,FALSE,ami-f978528e,FALSE
snap-f7bacca3,Created by CreateImage(i-c845e364) for ami-2b78525c from vol-1ce24adf,2015-09-29 10:57:52+00:00,120,vol-1ce24adf,FALSE,i-c845e364,FALSE,ami-2b78525c,FALSE
snap-bd6538e9,Created by CreateImage(i-94938b2d) for ami-07785270 from vol-f557ea3a,2015-09-29 10:59:33+00:00,65,vol-f557ea3a,FALSE,i-94938b2d,FALSE,ami-07785270,FALSE
snap-838cbcd7,Created by CreateImage(i-b386980a) for ami-2f785258 from vol-3e0cbff1,2015-09-29 10:57:43+00:00,65,vol-3e0cbff1,FALSE,i-b386980a,FALSE,ami-2f785258,FALSE
snap-15252a41,Created by CreateImage(i-c35dfb6f) for ami-ef785298 from vol-54c96197,2015-09-29 11:00:40+00:00,120,vol-54c96197,FALSE,i-c35dfb6f,FALSE,ami-ef785298,FALSE
snap-a3da3af4,Created by CreateImage(i-96acb22f) for ami-1f785268 from vol-ade45662,2015-09-29 10:58:34+00:00,120,vol-ade45662,FALSE,i-96acb22f,FALSE,ami-1f785268,FALSE
snap-92d3c4c4,Created by CreateImage(i-44fae4fd) for ami-2978525e from vol-282192e7,2015-09-29 10:58:20+00:00,500,vol-282192e7,FALSE,i-44fae4fd,FALSE,ami-2978525e,FALSE
snap-cf2f84e6,Created by CreateImage(i-6f8e2ec3) for ami-03785274 from vol-0471dac7,2015-09-29 10:59:50+00:00,120,vol-0471dac7,FALSE,i-6f8e2ec3,FALSE,ami-03785274,FALSE
snap-9e1ac4b6,Created by CreateImage(i-4ab0aef3) for ami-f978528e from vol-60e153af,2015-09-29 11:00:32+00:00,120,vol-60e153af,FALSE,i-4ab0aef3,FALSE,ami-f978528e,FALSE
snap-5e7e2d76,Created by CreateImage(i-44fae4fd) for ami-2978525e from vol-99209356,2015-09-29 10:58:20+00:00,50,vol-99209356,FALSE,i-44fae4fd,FALSE,ami-2978525e,FALSE
snap-2c424f04,Created by CreateImage(i-4f9688f6) for ami-f1785286 from vol-7700b3b8,2015-09-29 11:00:46+00:00,120,vol-7700b3b8,FALSE,i-4f9688f6,FALSE,ami-f1785286,FALSE
snap-6503d84e,Created by CreateImage(i-b386980a) for ami-2f785258 from vol-1b0cbfd4,2015-09-29 10:57:43+00:00,120,vol-1b0cbfd4,FALSE,i-b386980a,FALSE,ami-2f785258,FALSE
snap-563d287d,Created by CreateImage(i-96acb22f) for ami-1f785268 from vol-b3e4567c,2015-09-29 10:58:35+00:00,65,vol-b3e4567c,FALSE,i-96acb22f,FALSE,ami-1f785268,FALSE
snap-59a06a73,Created by CreateImage(i-75809ecc) for ami-51785226 from vol-ebf64424,2015-09-29 10:53:39+00:00,65,vol-ebf64424,FALSE,i-75809ecc,FALSE,ami-51785226,FALSE
snap-456c6d6f,Created by CreateImage(i-44fae4fd) for ami-2978525e from vol-dc209313,2015-09-29 10:58:20+00:00,40,vol-dc209313,FALSE,i-44fae4fd,FALSE,ami-2978525e,FALSE
snap-a790808d,Created by CreateImage(i-0410e592) for ami-e8e1ba8e from vol-99ae6a29,2017-02-03 11:44:05+00:00,65,vol-99ae6a29,FALSE,i-0410e592,TRUE,ami-e8e1ba8e,FALSE
snap-1ba40336,Created by CreateImage(i-0c4ceaa0) for ami-47785230 from vol-03e74fc0,2015-09-29 10:54:10+00:00,120,vol-03e74fc0,FALSE,i-0c4ceaa0,FALSE,ami-47785230,FALSE
snap-aeeac883,Created by CreateImage(i-6f8e2ec3) for ami-03785274 from vol-d570db16,2015-09-29 10:59:50+00:00,65,vol-d570db16,FALSE,i-6f8e2ec3,FALSE,ami-03785274,FALSE
snap-10b5813d,Created by CreateImage(i-76fbe5cf) for ami-15785262 from vol-292192e6,2015-09-29 10:58:43+00:00,40,vol-292192e6,FALSE,i-76fbe5cf,FALSE,ami-15785262,FALSE
snap-709f445c,Created by CreateImage(i-6070d6cc) for ami-fd78528a from vol-6916bfaa,2015-09-29 11:00:36+00:00,65,vol-6916bfaa,FALSE,i-6070d6cc,FALSE,ami-fd78528a,FALSE
snap-3e678711,Created by CreateImage(i-7259ffde) for ami-1d78526a from vol-10cd65d3,2015-09-29 10:59:13+00:00,65,vol-10cd65d3,FALSE,i-7259ffde,FALSE,ami-1d78526a,FALSE
snap-31ffbf1e,Created by CreateImage(i-7259ffde) for ami-1d78526a from vol-34cd65f7,2015-09-29 10:59:13+00:00,120,vol-34cd65f7,FALSE,i-7259ffde,FALSE,ami-1d78526a,FALSE
snap-9b85d6b4,Created by CreateImage(i-c35dfb6f) for ami-ef785298 from vol-a2c96161,2015-09-29 11:00:41+00:00,65,vol-a2c96161,FALSE,i-c35dfb6f,FALSE,ami-ef785298,FALSE
snap-936f94b2,Created by CreateImage(i-317fd99d) for ami-f7785280 from vol-c8eb430b,2015-09-29 11:00:05+00:00,120,vol-c8eb430b,FALSE,i-317fd99d,FALSE,ami-f7785280,FALSE
snap-2169b100,Created by CreateImage(i-f032e9b2) for ami-922403f4 from vol-75c87677,2017-02-10 07:58:58+00:00,65,vol-75c87677,TRUE,i-f032e9b2,TRUE,ami-922403f4,FALSE
snap-df1289fe,Created by CreateImage(i-317fd99d) for ami-f7785280 from vol-c9eb430a,2015-09-29 11:00:05+00:00,65,vol-c9eb430a,FALSE,i-317fd99d,FALSE,ami-f7785280,FALSE
snap-aed8428f,Created by CreateImage(i-4f9688f6) for ami-f1785286 from vol-df07b410,2015-09-29 11:00:46+00:00,65,vol-df07b410,FALSE,i-4f9688f6,FALSE,ami-f1785286,FALSE
snap-29a1d108,Created by CreateImage(i-76fbe5cf) for ami-15785262 from vol-fd209332,2015-09-29 10:58:43+00:00,50,vol-fd209332,FALSE,i-76fbe5cf,FALSE,ami-15785262,FALSE
snap-ba4b699b,Created by CreateImage(i-c845e364) for ami-2b78525c from vol-75e24ab6,2015-09-29 10:57:52+00:00,65,vol-75e24ab6,FALSE,i-c845e364,FALSE,ami-2b78525c,FALSE
snap-e04781c0,Created by CreateImage(i-6070d6cc) for ami-fd78528a from vol-7616bfb5,2015-09-29 11:00:36+00:00,120,vol-7616bfb5,FALSE,i-6070d6cc,FALSE,ami-fd78528a,FALSE
snap-46c87066,Created by CreateImage(i-0c4ceaa0) for ami-47785230 from vol-26e74fe5,2015-09-29 10:54:10+00:00,65,vol-26e74fe5,FALSE,i-0c4ceaa0,FALSE,ami-47785230,FALSE
snap-639ae943,Created by CreateImage(i-ba6c1d5c) for ami-05177572 from vol-b3475daf,2015-04-21 16:05:16+00:00,8,vol-b3475daf,TRUE,i-ba6c1d5c,TRUE,ami-05177572,FALSE
snap-1c34043c,Created by CreateImage(i-76fbe5cf) for ami-15785262 from vol-0c2192c3,2015-09-29 10:58:43+00:00,500,vol-0c2192c3,FALSE,i-76fbe5cf,FALSE,ami-15785262,FALSE
