snapshot id,description,started,size,volume,volume exists,instance,instance exists,ami,ami exists
snap-05139eeb065a53618,Created by CreateImage(i-9225d11d) for ami-48e7da2e from vol-621214d3,2017-03-27 12:49:06+00:00,8,vol-621214d3,False,i-9225d11d,False,ami-48e7da2e,False
snap-09d8b327a6f9c2375,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-cc84407c,2017-10-06 14:11:09+00:00,100,vol-cc84407c,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-081c0c4b2774b6047,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-057788ed4672f95f2,2017-10-06 14:11:11+00:00,100,vol-057788ed4672f95f2,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-006931c6f572bce27,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-cd84407d,2017-10-06 14:11:09+00:00,100,vol-cd84407d,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-065269f95ec1b41a5,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-0cee1ba45390c1e5e,2017-10-06 14:11:11+00:00,100,vol-0cee1ba45390c1e5e,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-04b2bc81258a871f7,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-0454cbe079df94a1a,2017-10-06 14:11:10+00:00,200,vol-0454cbe079df94a1a,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-071a80432b13a72cd,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-92854122,2017-10-06 14:11:09+00:00,50,vol-92854122,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0c46548704e1cf50f,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-0f47c2a041e51a4db,2017-10-06 14:11:10+00:00,300,vol-0f47c2a041e51a4db,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-03fd751865cf46668,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-0f3a6dd258473410e,2017-10-06 14:11:10+00:00,300,vol-0f3a6dd258473410e,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0e9cda71f8d56a3ea,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-39844089,2017-10-06 14:11:10+00:00,100,vol-39844089,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0267d45a81e48fc7a,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-428440f2,2017-10-06 14:11:10+00:00,100,vol-428440f2,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-06b7d7780d7da8416,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-38844088,2017-10-06 14:11:09+00:00,500,vol-38844088,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-016354201d6f7da38,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-09b78aaaee49cea33,2017-10-06 14:11:10+00:00,300,vol-09b78aaaee49cea33,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0680603b9616fa2da,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-93854123,2017-10-06 14:11:10+00:00,100,vol-93854123,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0171427e1244ad8c2,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-070da53587a5b5e9a,2017-10-06 14:11:10+00:00,100,vol-070da53587a5b5e9a,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-078902604b3f9a610,Created by CreateImage(i-aa3dc83c) for ami-d23fe9ab from vol-91854121,2017-10-06 14:11:10+00:00,200,vol-91854121,False,i-aa3dc83c,False,ami-d23fe9ab,False
snap-0592dc898060393eb,,2017-10-06 13:58:46+00:00,120,vol-7ac87678,False,,,,
snap-068c98eff02a8c744,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-42656cf3,2017-09-28 09:17:09+00:00,100,vol-42656cf3,False,i-5614e9d9,False,ami-f3fd368a,False
snap-0ae1b330b7169d165,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-b7646d06,2017-09-28 09:17:09+00:00,100,vol-b7646d06,False,i-5614e9d9,False,ami-f3fd368a,False
snap-0f2199423fb028a3d,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-6a656cdb,2017-09-28 09:17:09+00:00,100,vol-6a656cdb,False,i-5614e9d9,False,ami-f3fd368a,False
snap-002b10b789facec96,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-10656ca1,2017-09-28 09:17:09+00:00,100,vol-10656ca1,False,i-5614e9d9,False,ami-f3fd368a,False
snap-068217bc47d56dc74,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-13656ca2,2017-09-28 09:17:09+00:00,100,vol-13656ca2,False,i-5614e9d9,False,ami-f3fd368a,False
snap-0bb4b83d36d4282b5,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-0d656cbc,2017-09-28 09:17:09+00:00,50,vol-0d656cbc,False,i-5614e9d9,False,ami-f3fd368a,False
snap-0ef2efc98c6330d37,Created by CreateImage(i-5614e9d9) for ami-f3fd368a from vol-0a656cbb,2017-09-28 09:17:09+00:00,200,vol-0a656cbb,False,i-5614e9d9,False,ami-f3fd368a,False
snap-00555a1009ba9a84b,Created by CreateImage(i-01f00d41) for ami-0a4a8473 from vol-03e65704,2017-09-24 04:01:41+00:00,65,vol-03e65704,False,i-01f00d41,False,ami-0a4a8473,False
